Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.61,0.9099999999999999,-12.82897288831232
75% Corpus,6,0.61,symmetric,-12.455232081769163
75% Corpus,6,0.9099999999999999,0.01,-10.460333972157004
75% Corpus,6,0.9099999999999999,0.31,-12.415670128888948
75% Corpus,6,0.9099999999999999,0.61,-11.517787865744085
75% Corpus,6,0.9099999999999999,0.9099999999999999,-12.461333696181422
75% Corpus,6,0.9099999999999999,symmetric,-11.208135724181382
75% Corpus,6,symmetric,0.01,-11.217236769601586
75% Corpus,6,symmetric,0.31,-12.129297553550733
75% Corpus,6,symmetric,0.61,-13.027818506808869
75% Corpus,6,symmetric,0.9099999999999999,-12.502615461242508
75% Corpus,6,symmetric,symmetric,-12.349473517914754
75% Corpus,6,asymmetric,0.01,-10.828309322862227
75% Corpus,6,asymmetric,0.31,-13.166999492972499
75% Corpus,6,asymmetric,0.61,-15.040951429391571
75% Corpus,6,asymmetric,0.9099999999999999,-15.24004004236592
75% Corpus,6,asymmetric,symmetric,-12.832742905096937
75% Corpus,7,0.01,0.01,-12.448442514613832
75% Corpus,7,0.01,0.31,-12.351263362347405
75% Corpus,7,0.01,0.61,-13.43353582171501
75% Corpus,7,0.01,0.9099999999999999,-13.168442242507698
75% Corpus,7,0.01,symmetric,-12.459350190919807
75% Corpus,7,0.31,0.01,-12.104828878414855
75% Corpus,7,0.31,0.31,-13.143586827077437
75% Corpus,7,0.31,0.61,-13.714335989181334
75% Corpus,7,0.31,0.9099999999999999,-12.57987444852971
75% Corpus,7,0.31,symmetric,-12.639990299609297
75% Corpus,7,0.61,0.01,-11.227565831723455
75% Corpus,7,0.61,0.31,-12.927187325681812
75% Corpus,7,0.61,0.61,-13.231049333799316
75% Corpus,7,0.61,0.9099999999999999,-12.965485655954934
75% Corpus,7,0.61,symmetric,-12.25245029208185
75% Corpus,7,0.9099999999999999,0.01,-11.147464180732353
75% Corpus,7,0.9099999999999999,0.31,-12.38272426428776
75% Corpus,7,0.9099999999999999,0.61,-12.841743896708447
75% Corpus,7,0.9099999999999999,0.9099999999999999,-13.229939175485029
75% Corpus,7,0.9099999999999999,symmetric,-12.533907218786606
75% Corpus,7,symmetric,0.01,-12.737016470518284
75% Corpus,7,symmetric,0.31,-12.88643824717708
75% Corpus,7,symmetric,0.61,-13.115538759923753
