Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,0.61,0.4267732298471939
100% Corpus,4,0.61,0.9099999999999999,0.41377675396787117
100% Corpus,4,0.61,symmetric,0.46157780695330886
100% Corpus,4,0.9099999999999999,0.01,0.4094694304642248
100% Corpus,4,0.9099999999999999,0.31,0.4056243697699658
100% Corpus,4,0.9099999999999999,0.61,0.4153744291087087
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4562145252213521
100% Corpus,4,0.9099999999999999,symmetric,0.4094372123292356
100% Corpus,4,symmetric,0.01,0.4379492064182141
100% Corpus,4,symmetric,0.31,0.5115431775356019
100% Corpus,4,symmetric,0.61,0.4854560572428971
100% Corpus,4,symmetric,0.9099999999999999,0.4532958346109852
100% Corpus,4,symmetric,symmetric,0.4730260765794226
100% Corpus,4,asymmetric,0.01,0.4099438773497678
100% Corpus,4,asymmetric,0.31,0.4601827169136353
100% Corpus,4,asymmetric,0.61,0.4476060277516567
100% Corpus,4,asymmetric,0.9099999999999999,0.49481448385907
100% Corpus,4,asymmetric,symmetric,0.4697927728821345
100% Corpus,5,0.01,0.01,0.4032615245011071
100% Corpus,5,0.01,0.31,0.4864048643851417
100% Corpus,5,0.01,0.61,0.4784539132694515
100% Corpus,5,0.01,0.9099999999999999,0.44724468164903125
100% Corpus,5,0.01,symmetric,0.42768200215755636
100% Corpus,5,0.31,0.01,0.44893085319341425
100% Corpus,5,0.31,0.31,0.4932403884449988
100% Corpus,5,0.31,0.61,0.4481954620887828
100% Corpus,5,0.31,0.9099999999999999,0.4762485138335067
100% Corpus,5,0.31,symmetric,0.5045340052302704
100% Corpus,5,0.61,0.01,0.44903413382453616
100% Corpus,5,0.61,0.31,0.46291486859049924
100% Corpus,5,0.61,0.61,0.4430535786008269
100% Corpus,5,0.61,0.9099999999999999,0.4686780213972642
100% Corpus,5,0.61,symmetric,0.46333791721629314
100% Corpus,5,0.9099999999999999,0.01,0.43051471513457723
100% Corpus,5,0.9099999999999999,0.31,0.45777285064537115
100% Corpus,5,0.9099999999999999,0.61,0.4468090464165124
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.46343574123750064
100% Corpus,5,0.9099999999999999,symmetric,0.5027955130958406
100% Corpus,5,symmetric,0.01,0.4490959073901533
100% Corpus,5,symmetric,0.31,0.4367091570185407
100% Corpus,5,symmetric,0.61,0.4202123512971336
100% Corpus,5,symmetric,0.9099999999999999,0.46336931609900545
